movie_id,country_code
59058,GB
26465,US
50594,US
61197,US
78755,IN
36325,DK
36325,NI
36325,SE
36325,US
8460,US
69048,US
88112,FR
88112,IE
88112,NL
88112,US
48394,FR
48394,GB
48394,BE
98134,US
87799,SU
16846,US
31591,US
26116,US
26116,DE
26116,BG
78447,US
27566,US
11327,GB
11327,US
3122,IT
21766,TH
21766,FR
33945,DK
91219,IT
26423,US
41546,HK
41546,CN
99387,ES
80985,US
16653,US
4489,DE
55754,FI
71625,US
18032,AU
18032,FR
18032,HU
18032,US
14617,CA
14617,US
55871,US
9799,DE
9799,US
34533,US
19151,US
90059,US
32901,US
64725,DE
64725,IT
64725,YU
5855,DE
81938,BR
45525,DK
46857,EE
46857,FI
90120,US
29789,US
26676,US
67885,GB
67885,US
65898,FR
39341,US
28951,US
50774,XC
32513,GB
45136,US
62574,IT
91921,US
95271,JP
28183,US
36727,FR
25028,US
15470,HK
32823,US
75126,GB
53392,US
59302,GB
59302,US
96901,AU
21867,GB
83088,JP
71102,US
17995,US
34672,US
19144,CA
42411,IT
34527,DE
34527,SE
83796,US
43862,US
52700,US
80626,US
39384,VE
11342,US
79468,US
97822,US
1586,US
56750,US
38714,US
32546,AR
32546,ES
12406,FR
11224,US
9629,DE
9629,YU
25050,JP
67660,US
92427,IT
56153,IT
55222,JP
69370,CA
42774,CA
1862,DE
1862,US
56747,IS
80816,US
13635,CA
13635,FR
13635,IT
63635,IN
72483,US
73874,ZA
45411,HK
43993,GB
10691,US
32047,US
66115,US
47463,US
51593,CA
51593,US
38428,IN
58665,PH
24638,US
78550,US
51582,US
50580,BE
6416,DE
71725,YU
13043,FR
4541,GB
19463,US
4286,FR
4286,IT
47845,DE
34536,US
72366,FR
72366,BE
72366,CH
27172,US
40067,HK
53585,US
6473,US
39919,DE
74596,GB
44422,XG
47206,SE
21832,JP
76482,FR
28219,US
50004,ES
29917,GB
84644,FR
81746,IL
70230,SG
206,AU
206,DE
206,FR
206,GB
53289,US
28522,US
21596,BE
21596,FR
83235,SU
31355,FR
73119,FR
73119,GP
25310,US
80655,MX
16305,US
72138,US
80907,DE
25290,FR
50687,US
85166,US
71662,RU
83003,US
33793,US
41132,AU
68745,ES
68745,US
10184,US
20762,US
64623,CN
64623,HK
86037,ES
37838,FR
37838,MN
37838,KR
20903,US
56007,US
73741,IT
45485,US
3524,DE
57958,MY
69463,CA
29770,US
41121,CN
25512,FR
43008,US
27371,CA
99734,JP
73646,CA
52741,US
6202,DE
72040,US
29697,ZA
70621,AU
20310,DE
20310,US
50270,IT
49399,FR
49399,ES
55094,XC
57806,EG
56108,US
61299,US
98404,US
82245,GB
29549,US
74621,JP
22164,US
83284,DK
25012,CA
30924,US
41355,US
50865,US
87219,US
9050,HK
44977,IN
25004,FI
25004,DE
80793,CA
80793,GB
49301,GB
18704,KR
26525,US
65439,SE
65439,DE
94356,US
63372,IN
13375,ES
13375,FR
32643,US
61837,US
16992,IE
16992,GB
16992,US
6793,DE
60670,FR
78023,NL
30467,US
35115,US
48644,EG
70267,CA
69355,YU
26893,JP
20445,US
13058,FR
13058,GB
69719,CA
65996,US
23077,US
2644,HK
92682,US
72587,US
8948,DE
42334,US
85852,US
13397,US
73191,US
48616,DE
20949,SU
44497,CA
44497,DE
50839,US
97140,GB
58955,US
1994,US
24859,US
59418,ES
71235,IT
90677,TH
96769,US
96769,GB
86274,GB
47498,CA
47498,DE
80299,CA
80299,IE
84029,BE
20556,GB
20556,US
45465,US
16866,ES
16866,GB
30964,FR
30964,GB
30964,US
70393,US
25763,US
9792,FR
9792,US
67094,US
35636,BE
54824,GB
74953,US
15356,US
37376,US
37376,CA
43197,US
16275,US
13956,BE
13956,US
21765,US
73705,US
84135,JP
52462,US
55647,JP
45974,US
20105,AU
15645,JP
15645,US
19548,FR
99704,US
99374,US
23073,US
91865,CH
30669,US
18299,US
89597,GB
21200,FR
54269,TR
40689,GB
58777,FR
17515,US
133,US
41080,HU
81774,FR
81774,IT
10887,DE
77352,DE
77352,FR
77352,JP
29925,US
74723,US
73282,FR
61759,FR
47634,JP
64672,GR
61652,US
91733,US
47633,US
8665,CA
8665,DE
8665,RU
8665,GB
8665,US
11068,US
62214,US
97232,JP
17990,FR
17990,GB
29478,US
45379,HK
71444,JP
94241,US
89337,US
38591,US
11201,DE
66978,HK
96126,US
73158,BR
70148,BR
43770,IR
14266,US
16318,KR
99177,IN
39455,GB
33734,US
62044,IT
44038,US
28304,US
11490,BE
11490,FR
44118,US
62234,SE
73083,US
41063,HU
97272,ES
57061,US
44205,US
33086,JP
24356,GB
24356,US
33947,DK
676,US
45623,DE
10853,DE
78860,IN
14369,US
79043,FR
79043,IT
88863,US
57109,TW
46594,SU
31318,US
67945,US
10140,GB
10140,US
12775,NL
12775,ES
11216,IT
11216,FR
2896,JP
65981,FR
39350,US
67988,US
59833,US
4256,US
97630,US
52319,FR
67552,BE
67552,FR
26852,US
52306,US
23452,JP
10444,DE
73523,DE
69495,US
7548,GB
7548,US
33842,ES
73953,US
62132,US
79929,CZ
9437,US
13737,FR
10751,DK
85430,US
28816,US
51656,US
62561,GB
62561,US
55608,BG
55608,RU
82188,FR
38116,ES
64870,US
91702,SE
42829,JP
11837,GB
70555,FR
70555,DE
70555,IT
28704,US
39232,US
33813,US
25198,CA
25198,US
40548,HU
48350,GB
65653,US
44945,US
72524,JP
24795,US
45718,US
55471,DO
64033,RU
11306,US
11589,US
11589,YU
44660,NL
54493,JP
6984,US
30518,JP
45082,GB
53817,NO
91556,US
38461,US
41268,US
31547,TR
40978,FR
73448,DK
76037,US
86235,BS
81548,IL
43672,HK
52520,US
5973,GB
41243,US
39638,US
71997,US
2216,XG
71670,US
68265,RU
31590,US
12534,IT
96683,US
85374,SU
29768,US
30639,GB
62978,CH
62978,FR
28831,FR
28831,ES
68648,US
44854,AU
37218,CA
75515,ES
76144,DE
76144,GB
72562,BR
92,AT
92,CH
28375,AU
7987,DE
78390,AU
60103,DE
60103,IS
60103,SE
15310,GB
15310,US
26977,GB
27720,FR
27720,GB
63052,US
1838,DK
84591,US
69583,IN
62977,CN
62977,HK
68448,GB
95977,US
15418,US
57639,US
90800,US
17452,GB
50269,IT
72616,SU
61613,US
2325,RU
2325,GB
85799,JP
67602,US
20333,US
21571,IN
43215,US
52376,ID
52144,TR
65163,US
83721,CN
83721,HK
46849,US
99889,ES
60228,TR
36228,ES
65820,US
53769,US
65922,JP
12099,DE
96905,US
56172,CA
56172,US
46341,ES
