movie_id,company_id
42052,7029
16059,76
78510,16430
46525,82946
46525,6
56067,3166
38225,10210
48034,2612
48034,1115
48034,6896
43861,21
36701,18970
79836,46111
79836,155990
79836,47024
50066,21
61862,128664
62029,4986
61779,2999
10416,5
10416,1606
74759,659
57837,3268
54662,7305
54662,7306
54662,6705
54662,726
54662,703
80076,344
42369,82030
42369,111000
75364,7850
75364,6003
75364,11687
75364,1245
83728,18440
83728,8924
83728,10146
67591,3166
36906,55973
43636,97441
43636,12669
7290,2215
7290,2216
42728,516
5523,3958
5523,3431
42789,5
7551,9195
7551,130
7551,1645
36875,20521
36875,27959
36875,77535
36875,77536
36875,8210
9603,4
9603,12245
9603,258
6480,2103
6480,284069
63707,35877
63707,1472
63707,9027
63707,4898
15980,3749
13828,5822
13828,2788
13828,189817
13828,6953
13828,10765
13828,12540
13828,22715
4497,1659
4497,37802
4497,44698
59571,9961
59571,73974
59571,71497
21946,866
84915,42648
27374,5583
27374,7584
27374,2818
6524,5612
6524,15526
6524,21
24478,33
13927,3
4809,25
28367,11275
28367,1704
28367,21
35200,60
35200,5538
58055,823
58055,859
58055,1758
58055,1991
58055,1251
509,10163
509,283
509,232374
509,1382
31232,15676
31232,4051
31232,516
21348,6973
21348,8175
21348,591
21348,792
9401,19529
9401,11661
23654,1728
23654,3899
3305,33470
20915,3866
12613,5397
12613,7220
12613,4649
13276,22217
13276,12182
4982,8083
4982,23
4982,33
4982,7295
4982,221347
36628,24247
54197,160725
75930,1780
40406,31218
40406,31217
39092,5
39092,3166
10877,79
10877,172
10877,174
10877,1885
23245,21
60066,168
60066,6184
60066,42724
92141,8956
42149,41
40096,11446
40096,13969
40096,46430
94515,955
85533,2877
85533,51303
85533,37058
69652,16427
27602,4691
53983,21147
53983,25075
53983,1833
90985,50983
90985,4708
67733,25894
1552,33
1552,23
75804,47986
75804,16101
41647,201
41647,12914
41647,12915
41647,12916
41647,4606
41647,5778
73075,5051
85651,1819
85651,9266
61880,4
29785,43274
29785,23012
29785,23013
56085,2016
56085,114591
43033,5779
43033,8946
43033,8947
43033,9266
42234,8496
42234,8497
42234,8498
52855,12
52855,21154
52855,21155
42990,269879
44415,14538
44415,102241
10364,4
10364,1138
64288,17383
41806,750
41806,22533
53599,5
84619,6612
73580,260325
46523,1538
46523,8962
46523,6462
46523,217296
46523,237679
12661,21
12661,10513
12661,16192
16875,816
16875,12
16875,6363
69004,181840
69542,23372
69542,602
78328,1534
78328,155990
78328,20679
78328,70436
22734,25
57264,102817
57264,7819
57264,7036
57264,129505
44399,25
76926,157
28608,4849
28608,4850
14871,2983
25177,3755
4948,1398
4948,22358
4948,1822
4948,30277
40343,13735
40343,4952
40343,36554
40343,36555
40343,9266
56084,68883
63797,21978
83051,7840
93208,33537
12633,4988
12633,25
18647,10568
29998,5010
29998,4927
9527,47
74478,2898
14624,3914
14624,3915
14624,11145
14624,139792
64928,3245
64928,174
66924,927
5171,1860
5171,63893
5171,83
5171,6586
870,3034
870,528
870,567
870,569
71555,86531
71555,201944
71555,201945
58395,79233
58395,165394
14029,4746
33221,550
33221,6705
29233,8811
29233,2230
29233,54210
29233,21
3563,33
3563,878
35913,4928
28506,10399
52407,880
46768,25060
99521,220680
19663,3653
19663,3930
78069,17820
32115,10265
54249,4148
98255,33
51615,66141
51615,64402
22426,1020
22426,925
63907,10970
63907,152078
63907,16937
63907,143164
63907,986
70569,14914
62819,4227
34421,4
8400,2407
16328,40413
61796,52537
61796,12663
41727,87313
41727,292132
41727,147039
41727,11628
41727,49
41727,292133
41727,5096
7980,11
7980,7
7980,6705
82491,64863
16890,54814
16890,3231
16890,18666
16890,23058
16890,54818
2234,602
18009,4063
50538,13313
541,799
13124,5822
54283,3038
54283,151114
54283,880
15770,5686
58938,6985
56974,10102
56974,155990
53772,29729
36760,25
54986,7036
54986,11556
54986,94913
54986,16505
78772,15174
29078,2233
29078,2234
29078,2978
29078,23359
29078,307
5624,4785
5624,22786
5624,1787
2687,174
2687,508
2687,644
2687,67992
2687,183
50835,39606
50835,10399
55778,25894
52806,25894
85104,6112
34167,60919
66660,2130
66660,27934
66660,105061
20544,1693
20544,7429
28345,25
61798,43711
61798,50825
73932,9152
73932,2185
73932,15868
45877,4794
45877,35
45877,62282
45877,62283
45877,62284
42219,7840
77346,18445
57115,12960
57115,1242
75733,9
75733,223
75733,11244
75733,1583
75733,12431
75733,1251
54599,29587
99855,54286
5800,1981
48868,138272
48868,8601
96243,28688
96243,60
87300,88251
24189,1583
82409,6941
82409,59458
82409,37400
82409,346
48905,2159
77052,12617
77052,13851
87381,13383
87381,5
75272,7848
13439,2756
13439,2818
13439,153563
13439,2441
87125,14514
87125,34885
53642,18789
25913,33
25913,4285
5857,2894
5857,559
5857,491
50148,39985
36465,3324
36465,7429
36465,1645
91843,129712
81322,52346
66177,641
66177,52537
67750,3318
67750,12474
87593,1974
36874,164827
10151,28950
10151,42145
10151,104576
10151,483
10151,266184
64141,33
75390,344
20758,21
64898,659
4527,1465
4527,5940
4527,12135
81460,7036
44151,1082
44151,154744
33910,5376
33910,284577
45068,84048
45068,12150
45068,199398
45068,3034
45068,286640
45068,9221
45068,7111
45068,192522
45068,122616
45068,7542
82857,40972
82857,170208
82857,100852
63891,25100
27017,21
26843,22814
