movie_id,title,original_title,overview,release_date,runtime,original_language,status,imdb_id,popularity,vote_average,vote_count,adult_flag,video_flag,poster_path,backdrop_path,homepage,tagline,budget,revenue,collection_id,collection_name
62898,Uuno Turhapuro muuttaa maalle,Uuno Turhapuro muuttaa maalle,Uuno's father-in-law councillor Tuura moves to the country with his wife and daughter Elisabeth. Uuno joins them when it turns out Tuura's mansion is on the construction site of a new road. Tuura however is set on preventing this.,1986-08-29,106,fi,Released,tt0092144,0.7676,5.882,17,False,False,/rDCARvhh12ss3cG1MuaqaEP90Ot.jpg,/9VU1cRrn2BeIYs8vMo276U9Hs8D.jpg,,,0,0,148324,Uuno Turhapuro Collection
73909,Murder 101: If Wishes Were Horses,Murder 101: If Wishes Were Horses,"Dr. Maxwell is called in to investigate the kidnapping of a prize race horse. When the case leads to murder, Maxwell and Detective Bryant suspect the horse's owner.",2007-08-09,84,en,Released,tt1002572,0.7836,7.2,8,False,False,/6qM1vlxAEMKSx10YIv1FuFhKnjL.jpg,/jdaxWgzCnhP1gXLMIkUGIDEPs9F.jpg,,,0,0,731413,Murder 101 Collection
58953,AV,青春夢工場,"The story of four soon-to-be-college grads who are about to embark on the big adventure known as life. The foursome concoct an elaborate plan to hire a Japanese porn actress (or ""AV Girl"") for a fake film. Then they'll have sex with her. What could go wrong?",2005-03-19,103,cn,Released,tt0452931,1.9903,5.684,19,False,False,/lb3LrGNwohaVTtSXYWBolcf6Zh1.jpg,/ApN2NFrLTPKvudKTi4SnMX7ciY9.jpg,,,0,0,,
27984,Far from Home,Far from Home,"Charlie Cox should have stopped for gas in California. While he's on a cross-country trip with his teenage daughter, Joleen, his car hits empty in a creepy town in Nevada. With nary a drop of fuel to be found, Charlie and Joleen stop for the night at a dilapidated trailer park. There, Joleen catches the eye of two teenage boys, Jimmy and Pinky -- either of whom could be the serial killer currently terrorizing the town.",1989-06-30,86,en,Released,tt0097332,1.7864,5.457,46,False,False,/7Sbb0DbjvwZLi7Zb8DSK3sZ9Bsc.jpg,/q7UGbAIgUHA7dyxrXA7X33EgwLp.jpg,,One boy wants her love. One boy wants her dead.,0,11859,,
55574,Hit med Amin - 10 Års Jubilæumsshow,Hit med Amin - 10 Års Jubilæumsshow,"Siden Januar 2003 har Amin Jensen væltet det ene teater og koncerthus efter det andet. Mere end 35000 danskere har moret sig over Amin og de tre musikere Jens Krøyer, Dan Rasmussen og Niels Ratzer i Amins forrygende jubilæumsshow ""Hit Med Amin"". Amin er bedre end nogensinde før. Et show med masser af humor, parodier, satire, musik og sang. Ganske enkelt: En af årets store showoplevelser!",2003-07-13,,da,Released,tt0356692,0.1254,9.0,1,False,False,/5ZmulrL8egM0qQBWrqGm0f2AwtG.jpg,/saYMoTgjiRoU933t4CcMT4MwavN.jpg,,,0,0,336963,Amin Jensen (Samling)
55680,The Craigslist Killer,The Craigslist Killer,"Based on a true story, seemingly flawless Philip Markoff, a charismatic and popular medical student at Boston University, leads a double life and starts to descend into a twisted world of gambling, crime, battery, and eventually murder, all while meeting his victims via Craigslist. ",2011-01-03,95,en,Released,tt1772373,1.8844,5.2,109,False,False,/6kv8tLMxL3OkotgmESuTVM0ihb5.jpg,/d6oeM3zgzAXgZRbfxL4kRhn9ktK.jpg,,Be careful what you search for.,0,0,,
60383,Stupidity,Stupidity,An exploration into the nature of stupidity in Western society and its history of our perception of it.,2003-01-01,61,en,Released,tt0399704,0.8139,5.385,13,False,False,/undzoKFk12WeYqF4Rw24kWisDsK.jpg,,,,0,0,,
26810,A Common Thread,Brodeuses,"French drama, the debut film from writer-director Eléonore Faucher. Teenager Claire (Lola Naymark) discovers she is pregnant and decides to keep it a secret. Abandoning her dead-end supermarket job, she is taken on as an apprentice by couturiere Madame Mélikian (Ariane Ascaride), who is grieving over the death of her own child. As the two women work together, they soon develop a supportive and fam",2004-05-14,89,fr,Released,tt0387892,0.4946,6.424,33,False,False,/j9mUn7MfTUWdM4VthTcTPQE4Bdo.jpg,/nE5GrbmJWM6q8BjcqY0GyQVoo8f.jpg,,,0,0,,
24973,The Egyptian,The Egyptian,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",1954-08-25,139,en,Released,tt0046949,2.9512,6.458,106,False,False,/vYLY2YIGCWINPSzLg6tBiN6ub7X.jpg,/qTU1lVXsGfW4e0eZ7YM7WVySvnj.jpg,,"To Nefer, shameless temptress of Babylon, he surrendered his parents' hope of immortality!",5000000,15000000,,
98171,Shaolin vs. Ninja,少林童子功,A Japanese Prince proposes to the Shaolin abbot that a contest between Ching and Japanese martials arts should be held at the Shaolin Temple. However this is just a front for a more villainous plot to overthrow Shaolin and then China herself. Without doubt some of the best choreography to come out of the Orient and crack up as Japanese Bushido experts take on the very best of Shaolin kung fu,1983-01-01,84,zh,Released,tt0201099,0.7393,6.286,7,False,False,/peHNjZ1RADlQ3pPdz1mAS22VrA6.jpg,/hx8YGYL1OMSXNMDIG73GCWTsCcf.jpg,,,0,0,,
