person_id,name,original_name,gender,known_for_department,profile_path,popularity
2619155,Fabio Luongo,Fabio Luongo,0,Visual Effects,,0.0239
1402983,Stefano Marinoni,Stefano Marinoni,2,Visual Effects,,0.1465
3416710,Luciano Marzulli,Luciano Marzulli,0,Editing,,0.0143
1630069,Federica Nisi,Federica Nisi,0,Visual Effects,,0.0071
1574481,Luca Saviotti,Luca Saviotti,0,Visual Effects,,0.1523
3584694,Pierfilippo Siena,Pierfilippo Siena,0,Visual Effects,,0.0071
1402984,Paola Trisoglio,Paola Trisoglio,1,Visual Effects,,0.1836
1601342,Luca Vulterini,Luca Vulterini,0,Editing,,0.0261
1065001,Tanish Alladi,Tanish Alladi,2,Acting,/xfOUEyaqChfaciqCdIJNVsI8brz.jpg,0.2132
1333789,Madhavi Latha,Madhavi Latha,1,Acting,/xmN4ppEuDqWiML2YyuXIvBzACtM.jpg,0.2168
565889,Ravi Babu,Ravi Babu,2,Acting,/qAz3Rp4t5REIPDPcbrE7Q6x1Nk0.jpg,0.4252
1748422,Shekar Chandra,Shekar Chandra,2,Sound,,0.0596
3630509,Nixon Cruz Master,Nixon Cruz Master,2,Crew,,0.0214
50570,Jeff Chandler,Jeff Chandler,2,Acting,/7fh0EcV4LX3SxLOFmpSSar5TAjB.jpg,0.8378
40,Orson Welles,Orson Welles,2,Directing,/e9lGmqQq3EsHeUQgQLByo275hcc.jpg,2.0758
95018,Colleen Miller,Colleen Miller,1,Acting,/xFpncrOKjAQT2eyWgZrEBpzuwOq.jpg,0.1475
2011,Ben Alexander,Ben Alexander,2,Acting,/9rei98OSExqKecusqft2BV5KR1X.jpg,0.5194
85485,Barbara Lawrence,Barbara Lawrence,1,Acting,/jFG6sB2T6CwmFPHGfRExI8L5dgJ.jpg,0.3433
95564,John Larch,John Larch,2,Acting,/7vKSk4RnjeUTDgdvmeo98JBj2g2.jpg,0.8272
30537,James Gleason,James Gleason,2,Acting,/nIWAiRVuVbEfD8iSWymhOSJlWUm.jpg,0.6769
19968,Royal Dano,Royal Dano,2,Acting,/nDZwO90amUQmSD5IP8l340bi0gW.jpg,1.503
8496,Paul Fix,Paul Fix,2,Acting,/1CTVXkgurzEYeFaJDuuIODaZvFu.jpg,1.2908
94401,Martín Garralaga,Martín Garralaga,2,Acting,/tmXwvyHlxPhfig7qKhzIRxfid3Y.jpg,0.3826
87369,Mario Siletti,Mario Siletti,2,Acting,,0.4399
151463,Charles Horvath,Charles Horvath,2,Acting,/omPm78UWsvcxhdM5rBMpFT58uL8.jpg,0.3256
15992,William Schallert,William Schallert,2,Acting,/cWwLO0UxvKupMFqu4jyMnycSE1o.jpg,1.2393
950895,Joseph J. Greene,Joseph J. Greene,2,Acting,,0.415
151875,Forrest Lewis,Forrest Lewis,2,Acting,/lM1XiL4oO06w2VDFQO6oU5PV7es.jpg,0.4273
93628,Harry Harvey,Harry Harvey,2,Acting,/gfBTGsPJGlbQ7ThZKPdwb0pYC5w.jpg,0.6577
3414639,Joe Schneider,Joe Schneider,0,Acting,,0.0214
4086988,Wag Blesing,Wag Blesing,2,Acting,,0.0689
33883,Jack Arnold,Jack Arnold,2,Directing,/a9uDTgdsxBenzariCObIkZu1rh8.jpg,0.3791
45279,Albert Zugsmith,Albert Zugsmith,2,Production,/yKQk77qnx07VdEEpxYUSKXZIfLy.jpg,0.2427
40246,Arthur E. Arling,Arthur E. Arling,2,Camera,,0.3234
13350,Edward Curtiss,Edward Curtiss,2,Editing,,0.1548
15609,Gene L. Coon,Gene L. Coon,2,Writing,,0.7083
14498,Bud Westmore,Bud Westmore,2,Costume & Make-Up,/cujaF4TgLnpronQ3aMCnbLSSOW7.jpg,0.4506
132252,David Silver,David Silver,0,Production,,0.1173
7654,Leslie I. Carey,Leslie I. Carey,0,Sound,,0.3575
1532478,Joe Lapis,Joe Lapis,0,Sound,,0.2319
936638,Alfred Sweeney,Alfred Sweeney,0,Art,,0.1616
7651,John P. Austin,John P. Austin,2,Art,,0.393
581734,Marc Pistolesi,Marc Pistolesi,2,Acting,/mkVrFCGBDg9JVIMDXZUuDxqEni5.jpg,0.0071
581735,Julie Muzard,Julie Muzard,0,Acting,,
521916,Bruno Henry,Bruno Henry,2,Acting,/jcyqSVUFsU0bHSKjv6LCGu5GCob.jpg,0.0798
535348,Pascal Jaubert,Pascal Jaubert,0,Directing,,0.0071
41798,George López,George López,2,Acting,/jeUUeE3ipY9edqdOSNI9v5maAbi.jpg,2.0066
80172,Marty Callner,Marty Callner,2,Directing,/sejIEdA4ucYxUpfL9HxIzEM7fnq.jpg,0.3145
1844865,Stash Slionski,Stash Slionski,0,Production,,
1408987,Michael Schultz,Michael Schultz,2,Editing,,0.0527
92926,Randall Gladstein,Randall Gladstein,2,Production,,0.0362
2935526,R.J. Jaramillo,R.J. Jaramillo,0,Production,,0.0143
1372505,Ann Serrano Lopez,Ann Serrano Lopez,0,Production,/vG0DkuIgnudaSMOHh6vJ1eRktte.jpg,0.1483
17258,Kerry Fox,Kerry Fox,1,Acting,/qTN8PjqgOdICj6egcAhJ7qXfEk1.jpg,1.0832
5538,Ray Winstone,Ray Winstone,2,Acting,/eSRgAC98u5hQroeZzDeRf60XE21.jpg,2.0987
27632,Ben Daniels,Ben Daniels,2,Acting,/8ngIQbSnkS783qlCWhfWDT2JQ7C.jpg,1.0444
18616,David Morrissey,David Morrissey,2,Acting,/gj7ENB9pBobXA3wMfw6uKcWr2GM.jpg,1.7662
12094,Jennifer Saunders,Jennifer Saunders,1,Acting,/pTgxwHcz9L8SNVYvPJS0o0lgHya.jpg,1.4635
5414,Colin Salmon,Colin Salmon,2,Acting,/mLlAU6Zl2MIL5znp5UHdX3sVTN7.jpg,1.0374
1220268,Gaynor Faye,Gaynor Faye,1,Acting,/7bAUovVjRmDp4lrK5ZwqLj9vPva.jpg,0.4156
86044,William Ash,William Ash,2,Acting,/80iQNLDqNYugc3zE2LvwnJ3G9Qm.jpg,0.6921
1313588,Gareth Tudor Price,Gareth Tudor Price,2,Acting,,0.0695
2190635,Bridget Forsythe,Bridget Forsythe,0,Acting,,
1184914,Eileen O'Brien,Eileen O'Brien,1,Acting,/2n4MZEfmj04yD5SkYnmgTN8CAzT.jpg,0.6864
105488,Nicholas Lane,Nicholas Lane,2,Acting,/a0S7FIO48MsnIUAnjokS5VBbTr.jpg,0.0924
1738560,Richard Moore,Richard Moore,2,Acting,/aPM0oRQF4AmWF2yEpYiR4r7n9sT.jpg,0.2191
1738505,Sarah Parks,Sarah Parks,1,Acting,,0.1644
2190636,Ron Blass,Ron Blass,0,Acting,,0.0214
29307,Michael Medwin,Michael Medwin,2,Acting,/ta4gIRV6JnbT9CEH8XJDTdCJJeR.jpg,0.5203
1254779,Yvonne Francas,Yvonne Francas,0,Production,,0.0445
558275,Joyce Kennedy,Joyce Kennedy,1,Acting,,0.2012
1767290,Robert Maxfield,Robert Maxfield,2,Acting,,0.0239
2190637,Dan Riley,Dan Riley,0,Acting,,0.0071
1995088,Mike Kelly,Mike Kelly,2,Acting,,0.1446
2190638,Maureen Lunt,Maureen Lunt,1,Acting,,0.0657
2170069,Paul Gibbon,Paul Gibbon,0,Acting,,0.0409
2190639,Rachel Egan,Rachel Egan,0,Acting,,0.0168
118612,Rita May,Rita May,1,Acting,/ek9Log8EOGdmGn0i6VL5eMt0NgP.jpg,0.4884
2190640,Harriet Andrews,Harriet Andrews,0,Acting,,0.0071
2190641,Abbie Craven,Abbie Craven,0,Acting,,0.0143
2190642,Katie Hodgson,Katie Hodgson,1,Acting,,0.0071
2190643,Richard Stacey,Richard Stacey,2,Acting,,0.0505
2190644,Andrew Nixy,Andrew Nixy,0,Acting,,0.0143
2190645,Grace Francas-Mellor,Grace Francas-Mellor,0,Acting,,
2190646,Elliot Francas-Mellor,Elliot Francas-Mellor,0,Acting,,
3221,Marina Gefter,Marina Gefter,1,Production,,0.0511
34007,Nik Powell,Nik Powell,2,Production,,0.1196
469,Stephen Warbeck,Stephen Warbeck,2,Sound,/pxXDBT2yMQ0IU7EHEFovGFXudwD.jpg,0.2762
110587,John Daly,John Daly,2,Camera,,0.1329
16465,Chris Blunden,Chris Blunden,2,Editing,,0.1926
1325,John Hubbard,John Hubbard,2,Production,/frymbiZm34J86snrQvYVLYeAkZ1.jpg,0.4901
7786,Ros Hubbard,Ros Hubbard,1,Production,/jQonGwvfxVtHbI2N68RttmWCzU7.jpg,0.2022
471,Maria Djurkovic,Maria Djurkovic,1,Art,/mliyhLi7ZGqWVhfTxEqcLg9L07f.jpg,0.1611
475,Tatiana Macdonald,Tatiana Macdonald,1,Art,,0.1928
1422976,Stewart Meachem,Stewart Meachem,2,Costume & Make-Up,,0.1562
1456366,Jo Allen,Jo Allen,0,Costume & Make-Up,,0.0481
2597445,Amanda Shaw,Amanda Shaw,0,Costume & Make-Up,,0.0286
49732,Jonathan Cronin,Jonathan Cronin,2,Acting,,0.0972
1425481,Mike Dowson,Mike Dowson,2,Sound,,0.3188
1939997,Miriam Ludbrook,Miriam Ludbrook,0,Sound,,0.0541
2176737,Keith Marriner,Keith Marriner,0,Sound,,0.0684
135418,Kay Mellor,Kay Mellor,1,Creator,/xpBGg5sCcHGIyGZUui9QdlC65Ab.jpg,0.3443
1327029,Simon Hayes,Simon Hayes,2,Sound,/owIunnVBY4U5txToVfoQcayaJh0.jpg,0.376
948439,Laurie Borg,Laurie Borg,2,Production,,0.3435
1089664,David Bjergsø,David Bjergsø,0,Acting,,0.0071
1089665,Peter Frederiksen,Peter Frederiksen,0,Acting,,
1089666,Mickael Stele Liamm Knudsen,Mickael Stele Liamm Knudsen,0,Acting,,
1089667,Solveig Spangsberg,Solveig Spangsberg,0,Acting,,0.0261
1089668,Bjarne B. Stendahl,Bjarne B. Stendahl,0,Acting,,0.0071
1439601,Bo Weymann,Bo Weymann,0,Acting,,0.0071
1439602,"""Xander"" Truelsen","""Xander"" Truelsen",0,Acting,,
1439603,Gert Rasmussen,Gert Rasmussen,0,Acting,,0.0143
1439604,Bruno de Pauli,Bruno de Pauli,0,Acting,,
1439605,Per Larsen,Per Larsen,0,Acting,,
1439606,Steffen Steffensen,Steffen Steffensen,0,Acting,,0.0214
1439607,Niels Bach,Niels Bach,0,Acting,,
225918,Frank Andersen,Frank Andersen,0,Acting,,0.0143
1089659,Anders Riis-Hansen,Anders Riis-Hansen,0,Writing,,0.0168
1089663,Søren Steen Jespersen,Søren Steen Jespersen,0,Production,,0.0071
1089661,Peter Øvig Knudsen,Peter Øvig Knudsen,0,Writing,/wtkFuSwmHqHNy75z7SF3Mtqac4H.jpg,0.0143
116157,Vesa-Matti Loiri,Vesa-Matti Loiri,2,Acting,/2aninXoPRWmArNIw9ZvVNvb20Po.jpg,0.4561
116159,Marjatta Raita,Marjatta Raita,1,Acting,/5asdAsdQCveXZghEnaqGytlspce.jpg,0.177
116160,Marita Nordberg,Marita Nordberg,1,Acting,/vpHTGxOW1LcItTOqjHR0goYZeMU.jpg,0.0975
116162,Tapio Hämäläinen,Tapio Hämäläinen,2,Acting,/e3KJ24caqX8sWYxuuUxzVqxtJNf.jpg,0.0685
116158,Spede Pasanen,Spede Pasanen,2,Acting,/A7QRWp9fFuFWFwOQzrTptRP4nbh.jpg,0.206
116161,Simo Salminen,Simo Salminen,2,Acting,/4IuieSW8pU4TkieZLbl6IxLLO29.jpg,0.1221
222230,Olavi Ahonen,Olavi Ahonen,2,Acting,/2t127UIyG6RG744gAUEssh1DJtN.jpg,0.1407
1121477,Helge Herala,Helge Herala,2,Acting,/3o4NLqFrdiL6e5x6oraBJ92Q8XN.jpg,0.1226
147772,Marja Korhonen,Marja Korhonen,1,Acting,/bjpA9sqaX1EBEnXnnxlVbq4LLfn.jpg,0.0256
116163,Elli Castrén,Elli Castrén,1,Acting,/a7i9HK4p0WGbyVOBGEDk71kHo21.jpg,0.0673
1943084,Mirjam Himberg,Mirjam Himberg,1,Acting,,0.0834
223076,Jyrki Kovaleff,Jyrki Kovaleff,2,Acting,/8GlazzU7QeSfrfuSIR1FNnlmMRL.jpg,0.1512
147773,Juhani Kumpulainen,Juhani Kumpulainen,2,Acting,/bkp6BsgwFjIABrzRNm3v1C05zkB.jpg,0.0956
222322,Jukka Sipilä,Jukka Sipilä,2,Acting,,0.1112
1245288,Johanna Raunio,Johanna Raunio,1,Acting,,0.1181
1034493,Risto Aaltonen,Risto Aaltonen,2,Acting,,0.0797
2122821,Yrjö Parjanne,Yrjö Parjanne,2,Acting,,0.1217
1943083,Aapo Vilhunen,Aapo Vilhunen,2,Acting,,0.0744
1094238,Rita Polster,Rita Polster,1,Acting,/rY6thZCdMrLY1ayz7FpbcKBZJwL.jpg,0.1418
2560971,Tarja Siimes,Tarja Siimes,1,Acting,/e6CGhPGhj57kvxvjbZsdwAWLpLL.jpg,0.0947
110764,Aarre Karén,Aarre Karén,2,Acting,,0.1525
1943103,Anna-Maija Kokkonen,Anna-Maija Kokkonen,1,Production,,0.0716
1732943,Taru Valjakka,Taru Valjakka,1,Acting,,0.1253
2696750,Paavo Väyrynen,Paavo Väyrynen,2,Acting,,0.0214
2692142,Jenni Loiri,Jenni Loiri,1,Acting,,0.0525
3670558,Kimmo Hartonen,Kimmo Hartonen,2,Acting,,0.0071
3536067,Karl-Erik Fjäder,Karl-Erik Fjäder,2,Acting,,0.0214
1260683,Kiti Kokkonen,Kiti Kokkonen,1,Acting,/rtNaO9kbSXoMlFxo5ChpeGtJsWq.jpg,0.2135
116155,Ere Kokkonen,Ere Kokkonen,2,Directing,/vYGdKHdBHITw8mZ6cqLfmaYbAkW.jpg,0.0812
3083115,Irma Aaltonen,Irma Aaltonen,1,Costume & Make-Up,,0.0214
1537956,Vesa Tapola,Vesa Tapola,2,Art,,0.1061
1666624,Kristine Elo,Kristine Elo,1,Art,,0.0071
2126715,Tom Forsström,Tom Forsström,2,Sound,,0.0526
3670564,Mariann Veijalainen,Mariann Veijalainen,1,Editing,,0.0071
1747308,Saija Hakola,Saija Hakola,1,Costume & Make-Up,/eQhi8qJ4DfbtJHYiq8brex03MNG.jpg,0.1122
1943078,Pekka Lampela,Pekka Lampela,2,Editing,,0.0782
2690807,Tauno Lahtinen,Tauno Lahtinen,2,Production,,0.0286
4119561,Reija Virolainen,Reija Virolainen,1,Directing,,0.0639
1943077,Juha Jalasti,Juha Jalasti,2,Camera,,0.0427
2615624,Eero Jaakkola,Eero Jaakkola,2,Editing,,0.0311
1591255,Jaakko Salo,Jaakko Salo,2,Sound,,0.0754
61303,Dick Van Dyke,Dick Van Dyke,2,Acting,/jXAeNx7mYdirzMHcqPyj5VXxcXi.jpg,1.5373
113783,Barry Van Dyke,Barry Van Dyke,2,Acting,/dKadZ3uQCv6X0C1AUFA48Y5ZeFn.jpg,1.1485
1213027,Ray Abruzzo,Ray Abruzzo,2,Acting,/x0Qf3LP7q6CAvfQk2TRH6dILrKb.jpg,1.0473
19227,Brad Beyer,Brad Beyer,2,Acting,/7h0k75Qcd7n0O4fT1KbOdvMAvNu.jpg,1.1568
8853,Ralph Waite,Ralph Waite,2,Acting,/9piV2h6tAuhynRP0PSmM2IsSh69.jpg,1.1004
94430,Erica Gimpel,Erica Gimpel,1,Acting,/9rEGsUqlbVJexRZ2TTxc0UIGY5P.jpg,0.9587
173996,Marina Black,Marina Black,1,Acting,/qrSai8w4RCcoRNtbkzSQ5FHB53B.jpg,0.6223
3543706,Keith Harvey,Keith Harvey,2,Acting,,0.0586
103330,Navid Negahban,Navid Negahban,2,Acting,/pWi5tINf4mDvTYbNKZDJPODYKra.jpg,1.8898
155996,Eric Pierpoint,Eric Pierpoint,2,Acting,/9SIbjUr1TrQ08zdCFVSE2yfgO6E.jpg,0.8122
1213094,Caroline Lagerfelt,Caroline Lagerfelt,1,Acting,/8ynemfG1ypTk4QCCW4UvwfVNDYi.jpg,0.7686
3543717,Landon H. Lewis Jr.,Landon H. Lewis Jr.,2,Acting,,0.0666
3543720,Earl Graham,Earl Graham,2,Acting,,0.0528
53330,Michael Rose,Michael Rose,2,Acting,/zLdIbz6BmYmLgzk983ZK7ZjOHZ5.jpg,0.498
1494307,Oscar Best,Oscar Best,2,Acting,/pgcMOBiMJtnC9EjN2POoFUQIFGP.jpg,0.157
6048166,Carl Conti,Carl Conti,0,Acting,,0.0168
470006,Sajen Corona,Sajen Corona,0,Acting,/ibygUpc6PISIfzH6DnAypt50Qra.jpg,0.0478
3232787,Michelle Faraone,Michelle Faraone,0,Acting,,
6048167,David Foy,David Foy,0,Acting,,0.0071
147879,Jenn Gotzon Chandler,Jenn Gotzon Chandler,1,Acting,/kE5i7SL3voAa0yRbvZKUdVzJKqP.jpg,0.5281
4061987,Nicole Peplinski,Nicole Peplinski,0,Acting,,0.0214
6048168,Alex Spencer,Alex Spencer,0,Acting,,0.0143
81693,David S. Cass Sr.,David S. Cass Sr.,2,Directing,/tSo4s2Hb2UficxzMqU26bJhwg7i.jpg,0.7775
91366,Penny Perry,Penny Perry,1,Production,,0.2876
156827,Amy Reece,Amy Reece,1,Production,,0.153
1816488,Andrew Vona,Andrew Vona,0,Editing,,0.0214
1317897,Niko Vilaivongs,Niko Vilaivongs,1,Art,,0.0758
1535550,Brian Shanley,Brian Shanley,0,Camera,,0.0486
151394,Dean Hargrove,Dean Hargrove,2,Writing,,0.5725
31538,Nick Lombardo,Nick Lombardo,0,Production,,0.0858
176590,Michael Moran,Michael Moran,2,Production,,0.1064
107442,Brian Gordon,Brian Gordon,0,Production,,0.101
1863855,Erik Olson,Erik Olson,2,Production,,0.0979
1051825,Bridget Terry,Bridget Terry,1,Writing,,0.1628
72259,Larry Levinson,Larry Levinson,2,Production,,0.3864
69986,Robert Halmi Jr.,Robert Halmi Jr.,2,Production,,0.7213
1100323,Jerry Wills,Jerry Wills,2,Acting,/cjo5ar3tKK8eYyFVcpd8ljRy9Ss.jpg,0.3026
