keyword_id,keyword_name
166485,ellery queen
128,love triangle
2792,boxer
7439,woman between two men
154802,silent film
166802,prizefight
209476,boxing
249834,boxing ring
269120,prizefighter
308144,boxing match
188955,hand to hand combat
263338,bolo yeung
242,new york city
3012,court case
33518,district attorney
168346,"manhattan, new york city"
186715,gambling house
221204,accidental killing
254019,nightclub hostess
2652,nazi
1956,world war ii
9812,honor
14643,battle
241930,adolf hitler
273967,war
282633,history
331,tattoo
2599,necklace
8264,symbol
10058,sorority
12339,slasher
208518,burial
379,skinhead
4307,reggae
233,japan
3691,forbidden love
4344,musical
10181,based on play or musical
180830,minstrel
232473,whitewashing
281237,independent film
303437,yellowface
2771,octopus
2408,côte d'azur
11399,marine
13078,skinny dipping
14725,race car driver
15106,psychiatrist
188339,surgical instruments
188340,punch in mouth
188341,traumatic accident
188342,sleeping pill
188343,diagnosis
188344,riviera
252297,regression therapy
255541,obsessive thoughts
2157,hacker
4654,undercover agent
2708,hitman
10717,chain gang
10718,fugitive
10391,mafia
11148,police chase
208592,floppy disk
230701,"atlanta, georgia"
4048,musician
470,spy
4320,lover
6270,high school
931,jealousy
6733,bullying
10216,outcast
9986,crush
41203,clique
157303,first love
177040,fashion design
178444,peer pressure
180787,social differences
190116,school life
207763,abandoned by mother
208289,1980s
220314,wealth differences
246862,teenage angst
297793,record store
325147,high school prom
818,based on novel or book
10131,interracial relationship
167861,caribbean sea
241927,race relations
3590,piano lessons
165636,mortician
165641,tied to chair
165643,song and dance
165647,fisticuffs
165660,talking to the dead
186370,close-up
6029,concert
11634,live performance
1384,diamond
770,scotland yard
3568,lone wolf
208611,1950s
327947,deaf child
10947,goat
160963,elderly couple
238096,rug
9807,film noir
2564,wheelchair
6154,hell
9663,sequel
34079,death
9817,behind the scenes
33490,filmmaking
6440,hit-and-run
10337,cheat on husband
10235,family relationships
187056,woman director
5919,necrophilia
9672,based on true story
9826,murder
10714,serial killer
14895,cannibal
378,prison
395,gambling
420,bowling
1442,winter
1930,kidnapping
3398,release from prison
4345,tap dancing
3688,strip club
14558,bathtub
40865,new york state
156121,ex-con
164186,character study
174916,bowling alley
197702,day in a life
241778,prison release
255316,"buffalo, new york"
156091,missing person
351706,young detective
4552,beer
9673,love
15111,drinking
10617,disaster
8015,cop
41393,new england
3263,american  way of life
6165,historical figure
10410,conspiracy
12026,alternate history
5420,fisherman
174594,anti-nazi resistance
189422,nazi occupation
208729,hiding in attic
222687,german army
287390,love in war
319447,belgian resistance
329309,navy pilot
332395,downed aircraft
6078,politics
10770,mad doctor
215678,partially lost film
5359,marine biologist
2988,shark attack
12670,"los angeles, california"
15097,shark
736,journalist
779,martial arts
380,sibling relationship
390,skateboarding
1308,secret identity
853,crime fighter
9715,superhero
1852,mutant
4735,pizza
6362,turtle
9717,based on comic
9824,reunion
10278,ninja
11157,sibling rivalry
12653,brother against brother
14731,martial arts master
41412,sewer
234753,ancient curse
243959,brother brother relationship
269710,anthropomorphic animal
12999,black and white
1706,experiment
263548,short film
6054,friendship
206438,sixth grader
90,"paris, france"
11371,deserted town
6511,alone
9253,slapstick comedy
4280,mental breakdown
157634,parasite
178665,mayhem
223198,uninvited guest
6075,sports
5452,stunt
10109,fmx
10110,motocross
2080,stewardess
2804,exploitation
3436,karate
10184,airplane hijacking
34137,dungeon
732,coma
428,nurse
2279,"bavaria, germany"
1262,mountain
11612,hospital
195732,ski
236,suicide
409,africa
1560,dynamite
1963,expedition
10148,tribe
7464,alcoholism
8353,eternal youth
10061,dysfunctional marriage
10787,jungle
13005,doctor
15140,quicksand
166726,female villain
212001,hormone therapy
9856,flashback
13028,writer
14985,ireland
208501,troop ship
657,fire
1566,dreams
3030,nightmare
4426,sadism
6259,psychopath
886,movie business
6152,supernatural
3521,earthquake
4142,insomnia
6732,mascot
2494,ohio
6562,celebrity
9820,alternate dimension
10232,fame
12396,hollywood
47020,storytelling
160612,self-referential
161184,reboot
170383,disfigurement
175629,alternative reality
179878,sleepwalking
190157,nightmare becomes reality
225012,satirical
239797,complex
256183,supernatural horror
321464,intense
325772,assertive
3201,orgasm
2383,feminism
5756,man woman relationship
10685,escape
999,sports car
9748,revenge
11719,dirty cop
2658,new zealand
4112,strike
592,capitalism
6344,"liverpool, england"
6345,docker
6346,trade union
164400,labor union
242272,acrobatics
156033,jekyll and hyde
1415,small town
1421,birthday
697,loss of loved one
2468,foster parents
5424,women's prison
208476,starting over
2878,scientific study
3036,bible
5647,natural history
131,italy
163442,italian family
1224,radio station
3925,boredom
1228,1970s
3230,male friendship
11425,male with long hair
8030,pirate radio
11700,rock music
41352,drug overdose
155939,group of friends
164246,nostalgic
198047,little town
260941,young rebels
2656,hat
567,alcohol
1749,taxi driver
2849,key
3170,cigarette
3501,bed
9639,playboy
10668,stuffed animal
15237,alcohol abuse
33457,alcoholic
33681,top hat
161037,goldfish bowl
164044,alcoholic drink
182376,gentleman
188991,drunkenness
210692,comic drunk
234193,drunkard
251074,charlot
253896,tumbling
275134,carlitos
3298,hallucination
10309,sanity
10364,mission
782,assassin
1462,samurai
4978,immortality
10491,swordsman
14546,massacre
18098,samurai sword
18100,seppuku
18103,code of honor
155198,ronin
158228,kimono
186753,jidaigeki
190446,edo period
192913,warrior
207928,19th century
233290,harakiri
312229,bakumatsu
516,child abuse
726,drug abuse
1533,isolation
2438,social worker
6272,children's home
11494,drug use
10261,stealing
155643,foster child
178909,runaway child
208400,foster care
232051,care home
254,france
1400,swordplay
1721,fight
8201,satire
6199,dressmaker
6717,louis xiii
9725,sword fight
14577,musketeer
34094,extramarital affair
157186,swashbuckler
159747,diamond theft
175245,sword duel
180314,diamond necklace
204357,cardinal
207941,17th century
250303,queen jewels
267882,queen anne
288304,1620s
297352,swordsplay
317660,three musketeers
210024,anime
12990,singing
188717,cross country trip
156052,unemployment
186800,human cannonball
2125,gallows
8250,victorian england
13129,execution
18476,noose
33407,hanging
156120,train robbery
159858,strongbox
159859,gold theft
159862,british history
159868,playing piano
159871,horse carriage
249866,death by hanging
273124,public execution
326066,execution by hanging
332162,hanged woman
9016,femme fatale
534,mexico
5970,wrestling
9917,mixed martial arts (mma)
236159,luchador
245742,lucha libre
642,robbery
6149,police
703,detective
155331,jewel
210079,window washer
2078,mammoth
2079,sloth
2219,ice age
2223,barrier ice
2224,ice melting
2984,iceberg
3289,villain
3528,flooding
4875,deluge
4663,lovers
158017,saber-toothed tiger
840,usa president
1423,asteroid
1432,nasa
5096,natural disaster
4040,space mission
4803,comet
6941,tsunami
10221,meteorite
10222,astronomer
14626,astronaut
168669,meteorologist
181012,tidal wave
189411,disaster movie
2952,gulf war
1543,war veteran
6049,praise
3203,pilot
11107,rescue mission
11110,dead soldier
11117,tank
4595,us army
11124,medal
10141,battlefield
158778,behind enemy lines
162365,military
173458,army life
798,sheriff
1502,marshal
1329,canada
10468,bear
209100,overalls
11263,electric chair
325798,disgusted
7002,vigilante
6513,cartoon
11034,b movie
578,rock 'n' roll
210770,pixies
3133,vampire
3149,gangster
2334,nightclub
156764,pre-code
174539,police inspector
197618,racketeer
897,rap music
898,hip-hop
436,south seas
6464,uncle
160279,18th century
180803,polynesia
230692,bonded servant
2041,island
339,submarine
2106,cold war
264778,soviet/russian navy
3859,alcatraz prison
211706,mob family
225410,hippies
248210,acid trip
2389,virgin
1003,photographer
1486,flirt
1715,symbolism
3616,college
3344,letter
9887,surrealism
7312,road trip
