company_id,company_name,logo_path,origin_country
225986,Affordable Films,,
1742,Les Films 13,/kxKBr4UuwuVdMhuunZ579vWd5in.png,FR
13549,Golan-Globus Productions,,US
1444,The Cannon Group,/1848gsFuV3EGewKg8xWADAyJUVy.png,US
1908,Beaglefilms Filmproduktions GmbH,,
24637,Eleven Arts Studios,/xPN2FVZM5viOjjjP8PDOEZ5Vvll.png,US
3166,Walt Disney Productions,/jmPS1qPfKnISciDF7RnUbh48jvK.png,US
6246,Medusa Film,/7X6pfxldTiOD7MLo2EQqUQlmOUw.png,IT
2441,Fandango,/7Vutdea75apwXkRyfQ4Ne6j0KcN.png,IT
8413,SIC - Sociedade Independente de Comunicação,/vZokJngHqGwMKJSgIUOky2Ui46a.png,PT
930,Lone Star Corporation,,US
3507,History,/m7iLIC5UfC2Pp60bkjXMWLFrmp6.png,US
399,Show East,,KR
2965,SCS Entertainment,,KR
14938,Zik Zak Filmworks,/qbTj5eKcWTz3G9SU6LKImzAsne2.png,IS
1360,Glass Eye Pix,/lqVvISZwlXQpEl27erWszcPdPsR.png,US
23912,Antidote Films,,US
7912,Sedic International,/lHHcuWiDOB0Ouz43Stoc1UiD088.png,JP
134391,Toei Studios Kyoto,/ojIe99UBqomnOu1EPT8QhRUxexP.png,JP
5372,OLM,/tPtJc2rCOTHEzJQPStT6m3dI0eK.png,JP
209105,TV Asahi Music,/sFYmMTARpSps0Mn2lyAvDyFmDDv.png,JP
13412,IMAGICA,/jLBwPLrniN24UV46WMtNTCTyd8c.png,JP
9300,TV Asahi,/9sSD1XufVCJWAadNiC9Mwu994VD.png,JP
1778,dentsu,/b5rT6VbYza3LyfltCmz1OcqzWJM.png,JP
9149,Shogakukan,/isLUpud9N56ifftJZ4XvzwBBpoG.png,JP
3031,The Asahi Shimbun,/2JcgVKZ1gEY5RsLJU1CGj1MaKFj.png,JP
4868,Asahi Broadcasting Corporation,/3ExeT4zGXBFU7ei1crOvuzKnc1z.png,JP
81418,Nagoya Broadcasting Network,/kW9bMQqnMFtPHvdoyCDpRqh7Gxt.png,JP
35119,Kyushu Asahi Broadcasting,/73mdRjWDMFQr3n4ba4JcAsFZbuN.png,JP
7542,Yahoo! Japan,/15mlqcBV6kxXSUbPvqxpeMMtzae.png,JP
142097,TSUTAYA Group,/3iwWfwCNqnjQ2xrIPq3PRu1rwQx.png,JP
203384,Hiroshima Home Television,/lhn1dJk0b2ZRqyfxlPOsZ0LgagB.png,JP
69969,Sedic Deux,,JP
9108,Raku Film,,JP
11561,Recorded Picture Company,/8HB3TFUeo83keAPHfFfrNtN2MmA.png,GB
2395,HanWay Films,/pZz4qs03FtP6UGtZ3hjQ6qimcwi.png,GB
194768,Japan Action Enterprise,,JP
248949,Higashi Nippon Broadcasting,/omMXzoRyfKzy9cgFMYegrswcUkk.png,JP
248369,Shizuoka Asahi Television,/34nBfbkqxcjrbpVraEfI6MkCvgY.png,JP
81414,Hokkaido Television Broadcasting,/eJSYeF1YIyQbZdTRNxuvVKaZOIK.png,JP
559,TriStar Pictures,/eC0bWHVjnjUducyA6YFoEFqnPMC.png,US
11407,Baltimore Pictures,/qPYLq3Q7BijSn1l11zz0Ax7o3E2.png,US
23516,Rich Vein Productions,,
1917,EM Media,,GB
4748,Oscilloscope,/bTMeosrSiKaTPmZiTYnSDZlin5d.png,US
1262,Film Trust S.A.,,ES
200001,"Alexander, Michael and Ilya Salkind Productions",,US
1263,Este Films,,ES
465,Twickenham Film Studios,,GB
5414,T&C Film,/n4en5473XwdNOmu1BmlCXDzPGGL.png,CH
75424,Les Films du Scarabée,,FR
16366,La Sept Cinéma,/llLC13cdNDmJbq0E0PG8fraWsLp.png,FR
286773,Compagnie Méditerranéenne de Cinéma (CMC),,BE
5822,Toei Company,/qyTbRgCyU9NLKvKaiQVbadtr7RY.png,JP
3468,Hal Wallis Productions,,US
11831,Nic Arts,,IN
7286,Epithète Films,,FR
12000,Tapioca Films,,FR
12001,Warner Bros. Entertainment France,/aTaT8zDTec2FNLkIaVVRlUUPYSH.png,FR
83,France 2 Cinéma,/9OQ0rm55xtlgX7KcAKMUePJSrQc.png,FR
591,France 3 Cinéma,/q5I5RDwMEiqoNmfaJgd2LraEOJY.png,FR
11620,OCS,/f3hRdCaK1w9qH1Qs8nLd2L2bae1.png,FR
11359,France 2,/aqWJRi66t2oMPMmC60CdK9I3WQd.png,FR
11244,France 3,/gCHH1xt3dKjlm9NuMPF9ekpPWD6.png,FR
11246,La Région Île-de-France,/4YZ5CQZkJa2FIKGtjLLoKhNOAIw.png,FR
10201,Interscope Communications,/cgmwywVZ9NvAidd6Pn7p0CBYQkW.png,US
365,Nelson Entertainment,/3InSlF0bcc5zuObBGMQpDoSCjYV.png,US
60,United Artists,/4YldLvCWQL9VIAHQ2Fu3Ffkh9Si.png,US
23126,Starling Films,,GB
235,Nordisk Film Denmark,/obOynoztBEhDNfHsDXBqOuQLAZk.png,DK
5746,Yellow Bird,/sWgSj9muRStENKBoIoaDK6OZmDu.png,SE
37612,Jia's Motion Picture (H.K.) Co.,,
89783,"Regal Films Distribution Co., Ltd. (Hong Kong)",,
93500,Productions Berthemont,,
16180,INA,/tE5t6MnMhvyc34beR4Qf6hM2c5K.png,FR
11977,Cinematográfica Calderón S.A.,,MX
7119,Hybrid,/2aFVtrHVcqGOq1qwYlPZ7VQ67Oi.png,US
11860,Barnholtz Entertainment,,US
13912,ARO Entertainment,,
15163,AVRO,/75gxbqZaUTVrIqRSAhCmWSCgH2w.png,NL
76737,Spieghel Filmproductiemaatschappij,,
65192,POSA Films,,MX
70306,Mute Films,,
11749,20th Century Fox Animation,/5AzTeZkSCFhiGZ86g2nz8SAHtgy.png,US
9383,Blue Sky Studios,/ppeMh4iZJQUMm1nAjRALeNhWDfU.png,US
7,DreamWorks Pictures,/zcKhWbxFJ4CohZ9dLBMxmOArTVn.png,US
56,Amblin Entertainment,/cEaxANEisCqeEoRvODv2dO1I0iI.png,US
1865,The Zanuck/Brown Company,,US
1302,Davis Entertainment,/zC3b70ixHh89qJIikLQPEvLqbPM.png,US
711,Fox 2000 Pictures,/tEiIH5QesdheJmDAqQwvtN60727.png,US
1301,Joseph M. Singer Entertainment,,
8930,Euro International Films,,IT
148559,Gianni Buffardi S.p.A.,,IT
1062,Boll Kino Beteiligungs GmbH & Co. KG,,DE
5723,Pitchblack Pictures,,CA
6345,Lighthouse Pictures,/pctomojbRLZNdYB0muFoZiaYdPI.png,CA
13584,DP Films,,
5505,Fulwell 73 Productions,/lNSXnoZxWcqSFbjI62A7aRGZOPa.png,GB
11756,Aitor Films,,
7508,PEA,,IT
64714,Theumer Filmproduktion,,DE
20555,Taurus Film,/hD8yEGUBlHOcfHYbujp71vD8gZp.png,DE
153160,TalkBack Productions,,
67464,Vega international Pictures,,US
6,RKO Radio Pictures,/n53F7K9scQWFXYbrCablqLKqJdp.png,US
746,MTV Films,/kc7bdIVTBkJYy9aDK1QDDTAL463.png,US
1608,Wayans Bros. Entertainment,,US
46111,IBC MOvie,/lct7ThhbE6xBqiTpP4ZSX58D7NM.png,IT
7704,Pupkin Production,,IT
14016,MiC,/snclwsIZQbgvqYCBJP8fqNlCA5y.png,IT
219,The Mirisch Company,,US
3266,Otto Preminger Films,,US
37310,Flirt Pictures,,
2365,Capital Arts Entertainment,,US
1020,Millennium Media,/kuUIHNwMec4dwOLghDhhZJzHZTd.png,US
2682,Propaganda Pictures,,
1177,Rastar Productions,/gxvrQWG6byKMVEHMjTJjGhRlARQ.png,US
5426,Benedict Bogeaus Production,,US
295979,Pinecrest Productions,,
1169,RF2K Productions,,FR
694,StudioCanal,/5LEHONGkZBIoWvp1ygHOF8iyi1M.png,FR
6318,Brut Productions,,
494,AVCO Embassy Pictures,/ioc65azmsAeL1XQN4dFnrpdJoMO.png,US
91303,Out of the Dark Productions,,
1702,Medusa Produzione,,
6181,SF Studios,/gYyww91VI1jdH89xpZgFFc8zN3F.png,SE
11352,Prominent Features,,GB
59354,Erik the Viking Film Productions,,SE
2448,Yari Film Group,/5sHdaGheYOw2qA20fewRVGDM4Xk.png,US
23034,El Dorado Pictures,,US
85165,Miracle Entertainment,,US
8041,Homegreen Films,/ewR2yugip7hKSDKjYrQSWIb9j9w.png,TW
8471,Tarantula,/rfmlWuH9lxt9pgQetWbNwZKSXvZ.png,BE
31137,Circe Films,/rHzcJcRfaNemvKKGNTcx0h4VHwS.png,NL
34766,Musée du Louvre,/atA5jWdLJ5tgyKQ5dJ6FcYLQsUo.png,FR
3883,JBA Production,,FR
94,ARTE France Cinéma,/huC7HqorvUThGIrENrbcHmQVUA0.png,FR
43,Fox Searchlight Pictures,/4RgIPr55kBakgupWkzdDxqXJEqr.png,US
7053,Catch 23 Entertainment,,US
1422,Killer Films,/rIB6DuimR1qgLE14cBwpMABC2xx.png,US
5286,Laughlin Park Pictures,,
246186,Edison Manufacturing Company,,
554,Silver Screen Partners III,/mN5HU5xYq9xtEs1X0Hu25A9y8lW.png,US
9195,Touchstone Pictures,/geK5QOBsXIPGHutKwXtYjMUyYSG.png,US
106785,Rain Fall,,
89715,Citizens United Productions,,US
